covariate,Rank,Beta,Hazard Ratio,Std Error,Z-score,P-value,Abs_Beta
Gene_TP53,1,0.25282460225345726,1.2876574048193639,0.023328101948606097,10.837769948470415,2.279601103151693e-27,0.25282460225345726
Gene_RUNX1,2,0.1341281585374655,1.1435393645864533,0.024888858076948284,5.3890844699577904,7.081751692740999e-08,0.1341281585374655
Gene_ASXL1,3,0.09266100931146258,1.0970897690089112,0.025828463371815068,3.5875540862635114,0.00033379450739972705,0.09266100931146258
Gene_NRAS,4,0.05891175297441112,1.0606816346106374,0.024583089513339415,2.3964340585606254,0.01655547207150171,0.05891175297441112
Gene_STAG2,5,0.0531445273453456,1.0545820500498935,0.02510253700823921,2.1170978585910416,0.03425154340534467,0.0531445273453456
Gene_SF3B1,6,-0.040551015745515444,0.9602601748730922,0.024036181296384452,-1.687082288383936,0.09158753022171666,0.040551015745515444
Gene_FLT3,7,0.02931764557098691,1.0297516385775363,0.026226459921974345,1.1178651506230377,0.26362459094071267,0.02931764557098691
Gene_MLL,8,0.026984934811068003,1.0273523253900232,0.027447877777441985,0.9831337427932424,0.32554161910593477,0.026984934811068003
Gene_EZH2,9,0.021046258886592582,1.0212692933252667,0.02512378134212572,0.8377026769972621,0.40219770959431156,0.021046258886592582
Gene_CEBPA,10,0.008387318262304239,1.008422590359927,0.026721850363669038,0.313874905672985,0.7536160503049112,0.008387318262304239
Gene_ETV6,11,0.007826433909820416,1.0078571404991163,0.026564614653467166,0.2946187630393097,0.7682851272247847,0.007826433909820416
Gene_CBL,12,0.0008486615226694034,1.0008490217377524,0.02670598019140817,0.03177795821710503,0.9746491245520746,0.0008486615226694034
Gene_U2AF1,13,2.0169399179093872e-07,1.0000002016940122,0.00028024577458240504,0.0007197039530443714,0.9994257593770907,2.0169399179093872e-07
Gene_NF1,14,1.4080845307596017e-07,1.000000140808463,0.00010302922055064995,0.0013666846388179523,0.9989095437666646,1.4080845307596017e-07
Gene_SRSF2,15,1.3213708730635709e-07,1.000000132137096,8.951770360166439e-05,0.0014761000560776258,0.9988222429827522,1.3213708730635709e-07
Gene_BCOR,16,1.2385268463751105e-07,1.0000001238526923,7.834147096520472e-05,0.0015809338669747481,0.9987385978013384,1.2385268463751105e-07
Gene_PTPN11,17,1.0383905260001001e-07,1.000000103839058,5.709020343485425e-05,0.0018188593900966034,0.9985487609745475,1.0383905260001001e-07
Gene_SETBP1,18,9.34909248901392e-08,1.0000000934909292,4.870536488183305e-05,0.0019195200593807896,0.9984684455209855,9.34909248901392e-08
Gene_KRAS,19,8.976031485429138e-08,1.000000089760319,4.604610321146176e-05,0.0019493574611965927,0.9984446387632862,8.976031485429138e-08
Gene_GATA2,20,8.065511867602554e-08,1.000000080655122,4.027566071274316e-05,0.0020025771706460517,0.9984021756616885,8.065511867602554e-08
Gene_DNMT3A,21,6.63582928596328e-08,1.000000066358295,3.3024993275273386e-05,0.0020093355449467077,0.998396783270027,6.63582928596328e-08
Gene_IDH2,22,6.446834996018563e-08,1.000000064468352,3.221338853174455e-05,0.002001290547147984,0.9984032022366561,6.446834996018563e-08
Gene_ASXL2,23,5.262974152432983e-08,1.000000052629743,2.7818956007851703e-05,0.0018918661616731936,0.998490510098946,5.262974152432983e-08
Gene_NPM1,24,4.894752698152798e-08,1.0000000489475283,2.667784467470667e-05,0.0018347631744004885,0.9985360716117669,4.894752698152798e-08
Gene_CSF3R,25,4.537563075012477e-08,1.0000000453756317,2.5665871311940274e-05,0.0017679365020822466,0.9985893914953416,4.537563075012477e-08
Gene_SMC1A,26,4.5306117372109544e-08,1.0000000453061184,2.5647081272192132e-05,0.0017665213788374717,0.9985905205985671,4.5306117372109544e-08
Gene_KIT,27,4.529234740857814e-08,1.0000000452923485,2.564336381887982e-05,0.0017662404873432338,0.998590744717204,4.529234740857814e-08
Gene_NFE2,28,-4.40473038945443e-08,0.9999999559526971,2.5312646380938704e-05,-0.0017401303376842273,0.99861157757048,4.40473038945443e-08
Gene_BRCC3,29,4.283904362536989e-08,1.0000000428390445,2.5002019964258425e-05,0.0017134233028615424,0.9986328866694599,4.283904362536989e-08
Gene_BCORL1,30,3.79302891940586e-08,1.00000003793029,2.3841824413697785e-05,0.0015909138720217487,0.9987306349194087,3.79302891940586e-08
Gene_ATRX,31,3.4169232891578073e-08,1.0000000341692334,2.3060032658863105e-05,0.0014817512792396309,0.9988177339639728,3.4169232891578073e-08
Gene_TET2,32,-3.1161314893059696e-08,0.9999999688386856,2.2499392149242308e-05,-0.0013849847447593862,0.9988949424084927,3.1161314893059696e-08
Gene_GNB1,33,2.8380945465501276e-08,1.0000000283809458,2.20309117913959e-05,0.0012882329035780245,0.9989721391398135,2.8380945465501276e-08
Gene_PRPF8,34,2.825005149198053e-08,1.0000000282500519,2.201001458543503e-05,0.001283508985526743,0.9989759082779771,2.825005149198053e-08
Gene_SUZ12,35,2.5970257863085892e-08,1.0000000259702582,2.16626036594497e-05,0.001198852098822253,0.9990434546487955,2.5970257863085892e-08
Gene_STAT3,36,-2.5816681229351528e-08,0.9999999741833191,2.164031444004967e-05,-0.0011929901157800493,0.9990481318312159,2.5816681229351528e-08
Gene_PPM1D,37,2.4488234915445356e-08,1.0000000244882352,2.1453368013845546e-05,0.0011414634242810347,0.9990892441548215,2.4488234915445356e-08
Gene_RAD50,38,-2.440310607989397e-08,0.9999999755968942,2.1441742332361004e-05,-0.0011381120853720698,0.999091918134658,2.440310607989397e-08
Gene_U2AF2,39,2.2511534191207547e-08,1.0000000225115344,2.119440869709336e-05,0.0010621449511962473,0.9991525311014514,2.2511534191207547e-08
Gene_CREBBP,40,2.227192486847238e-08,1.0000000222719252,2.116456929552053e-05,0.0010523211957441639,0.9991603693198752,2.227192486847238e-08
Gene_ZRSR2,41,-2.117384692240128e-08,0.9999999788261533,2.103208109180737e-05,-0.0010067404566374144,0.9991967374686014,2.117384692240128e-08
Gene_PHF6,42,2.0621057685876593e-08,1.000000020621058,2.0968022182489603e-05,0.0009834526836344747,0.9992153184139358,2.0621057685876593e-08
Gene_ETNK1,43,1.987017952784051e-08,1.0000000198701797,2.0883823862688103e-05,0.0009514627042675546,0.999240842712627,1.987017952784051e-08
Gene_MGA,44,-1.7879897155464244e-08,0.999999982120103,2.0676252141370496e-05,-0.0008647552290044331,0.9993100252398979,1.7879897155464244e-08
Gene_RAD21,45,1.7808585968983173e-08,1.0000000178085862,2.0669237989497905e-05,0.0008615985735919129,0.999312543885577,1.7808585968983173e-08
Gene_WT1,46,1.6772043681410296e-08,1.0000000167720438,2.0570471313520107e-05,0.0008153456197372948,0.9993494483903732,1.6772043681410296e-08
Gene_BRAF,47,1.4543625292067317e-08,1.0000000145436252,2.0378646827016858e-05,0.0007136698238857646,0.9994305739143478,1.4543625292067317e-08
Gene_DDX41,48,1.3752415424879538e-08,1.0000000137524154,2.0317236367082623e-05,0.0006768841576879417,0.99945992462237,1.3752415424879538e-08
Gene_DDX54,49,-1.315014016527716e-08,0.9999999868498598,2.027283033380869e-05,-0.0006486583248983676,0.9994824455736215,1.315014016527716e-08
Gene_KMT2D,50,-1.0807707619281416e-08,0.9999999891922924,2.0119282123016326e-05,-0.0005371815730401965,0.999571391137137,1.0807707619281416e-08
Gene_SH2B3,51,1.0711394220241246e-08,1.0000000107113942,2.011361925698942e-05,0.0005325443463646689,0.9995750911081771,1.0711394220241246e-08
Gene_JAK2,52,9.569939835016108e-09,1.0000000095699397,2.0050399279221613e-05,0.0004772942274986769,0.9996191743193777,9.569939835016108e-09
Gene_ROBO2,53,-9.404464006144672e-09,0.999999990595536,2.004182807954306e-05,-0.00046924182608591096,0.9996255992054228,9.404464006144672e-09
Gene_KDM6A,54,8.622190877152923e-09,1.000000008622191,2.000335938302964e-05,0.00043103714291449355,0.9996560821291856,8.622190877152923e-09
Gene_KMT2C,55,-6.610108840283911e-09,0.9999999933898912,1.9919829855149022e-05,-0.0003318356074499945,0.9997352334969501,6.610108840283911e-09
Gene_IRF1,56,5.547492300299522e-09,1.0000000055474922,1.9884653917043654e-05,0.0002789835982785007,0.9997774032971039,5.547492300299522e-09
Gene_MPL,57,5.20563081903375e-09,1.0000000052056308,1.9874649931961514e-05,0.0002619231451549891,0.9997910155687534,5.20563081903375e-09
Gene_ZBTB33,58,-4.5605302894495655e-09,0.9999999954394697,1.985750748450995e-05,-0.0002296627758044182,0.9998167556186054,4.5605302894495655e-09
Gene_CTCF,59,-4.257487990873694e-09,0.999999995742512,1.9850238320969314e-05,-0.00021448044713781526,0.9998288693639467,4.257487990873694e-09
Gene_CUX1,60,-3.3795064425251693e-09,0.9999999966204935,1.983199939969799e-05,-0.00017040674388970754,0.9998640350906518,3.3795064425251693e-09
Gene_CSNK1A1,61,3.1812698492697088e-09,1.00000000318127,1.982846387008903e-05,0.00016043955145050908,0.9998719877595047,3.1812698492697088e-09
Gene_DDX4,62,-2.97693718738011e-09,0.9999999970230629,1.9825041877202417e-05,-0.00015016044888174513,0.9998801892966442,2.97693718738011e-09
Gene_EED,63,2.9609652687441092e-09,1.0000000029609653,1.98247845491784e-05,0.00014935674389797193,0.9998808305604351,2.9609652687441092e-09
Gene_LUC7L2,64,2.744651831590713e-09,1.0000000027446518,1.9821427327160194e-05,0.00013846892992564012,0.9998895177790145,2.744651831590713e-09
Gene_IDH1,65,2.205130752936509e-09,1.0000000022051307,1.9814167468419388e-05,0.00011129060842203613,0.999911202941961,2.205130752936509e-09
Gene_EP300,66,-1.849073785096627e-09,0.9999999981509262,1.981024365342175e-05,-9.333927524799743e-05,0.9999255260334712,1.849073785096627e-09
Gene_ARID2,67,-1.686820509880282e-09,0.9999999983131795,1.9808682020343732e-05,-8.515561550980014e-05,0.9999320556492012,1.686820509880282e-09
Gene_GNAS,68,6.197618152256643e-10,1.0000000006197618,1.980199294158615e-05,3.129795152709619e-05,0.9999750278476959,6.197618152256643e-10
